field,regex
____background___,This is the ripped straight from SA-cim_vladiator written by Vlad Skyork to whom we all owe many things.
action,^(success|failure|allowed|blocked|deferred)$
app,^[\w:\-]+$
bytes,^\d+$
bytes_in,^\d+$
bytes_out,^\d+$
cached,^(?:true|false|1|0)$
category,"^.{3,30}$"
channel,^\d+$
date,^[01]\d-[0123]\d-[12]\d{3}$
dest,^[\w\.-]+$
dest_ip,"^\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}$"
dest_mac,^[a-f0-9]{2}:[a-f0-9]{2}:[a-f0-9]{2}:[a-f0-9]{2}:[a-f0-9]{2}:[a-f0-9]{2}$
dest_nt_domain,"^[\w\/\\\-\.$]{1,20}$"
dest_port,"^\d{1,5}$"
dest_translated_ip,"^\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}$"
dest_translated_port,"^\d{1,5}$"
direction,^(inbound|outbound)$
duration,"^\d+(:?\.\d{1,6})?$"
dvc,^[\w\.-]+$
dvc_ip,"^\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}$"
dvc_mac,^[a-f0-9]{2}:[a-f0-9]{2}:[a-f0-9]{2}:[a-f0-9]{2}:[a-f0-9]{2}:[a-f0-9]{2}$
file_hash,"^[0-9a-fA-F]{32,512}$"
file_name,"^.{1,255}$"
free_bytes,^\d+$
http_content_type,^\w+\/[\w\-\+\.]+$
http_method,^(?:GET|POST|HEAD|PUT|DELETE|OPTIONS|TRACE|CONNECT)$
http_referrer,^(?:https?|ftp):\/{2}.+
http_user_agent_length,^\d+$
ids_type,^(network|host|application)$
node_port,"^\d{1,5}$"
packets,^\d+$
packets_in,^\d+$
packets_out,^\d+$
protocol,^[a-z0-9]+$
severity,^(critical|high|medium|low|informational)$
signature,"^.{3,80}$"
src,^[\w\.-]+$
src_ip,"^\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}$"
src_mac,^[a-f0-9]{2}:[a-f0-9]{2}:[a-f0-9]{2}:[a-f0-9]{2}:[a-f0-9]{2}:[a-f0-9]{2}$
src_nt_domain,"^[\w\/\\\-\.$]{1,20}$"
src_port,"^\d{1,5}$"
src_translated_ip,"^\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}$"
src_translated_port,"^\d{1,5}$"
src_user,"^[\w\/\\\-\.$]{1,20}$"
tag,.*
transport,^[a-z0-9]+$
transport_dest_port,"^\d{1,5}$"
url,^(?:https?|ftp):\/{2}.+
url_length,^\d+$
user,"^[\w\/\\\-\.$]{1,20}$"
vendor_product,^[\w\s\-:]+$
vip_port,"^\d{1,5}$"
