vendor_action,message_id,action
aborted,,failure
accessed,,accessed
added,,created
assigned,,assigned
built,,allowed
changed,,changed
closed,,closed
closing,,closed
constructing,,constructing
created,,created
deleted,,deleted
denied,,blocked
deny,,blocked
discarded,,blocked
"est-allowed",,allowed
established,,established
executed,,executed
failed,,failed
granted,,granted
initializing,,initialize
intercepted,,flow
modified,,modified
permitted,,allowed
"pre-allocate",,"pre-allocate"
"pre-allocated",,allowed
processing,,processing
recovering,,recover
rejected,,failure
reloading,,reload
remove,,deleted
removed,,removed
rename,,modified
replacing,,replacing
resetting,,reset
resumed,,resumed
retrieved,,retrieved
set,,set
shutdown,,stopped
shutting down,,shutdown
shutting,,shutdown
started,,started
starting,,starting
stopped,,stopped
stored,,stored
succeeded,,success
successful,,success
teardown,,teardown
terminated,,terminated
termination,,terminated
up,,started
updated,,updated
view,,read
,111010,modified
,113008,success
,113019,blocked
,113039,added
,402119,blocked
,502103,modified
,602303,added
,602304,teardown
,713228,added
,716001,added
,716002,blocked
,716058,blocked
,716059,added
,722022,started
,722023,ended
,722028,ended
,722029,ended
,722030,blocked
,722031,blocked
,722033,added
,722034,added
,722037,ended
,725001,added
,725006,failed
,725007,terminated
,725012,added
,725016,added
,722051,added
,751025,added
,713167,failure
,713166,failure
,400032,blocked
,507003,blocked
,110002,blocked
,303002,allowed
,313005,blocked
,338002,blocked
,106014,blocked
,419003,flow
,419002,flow
,400013,flow
,500003,flow
,713198,failure
,505009,modified
,725003,started
,113021,failure
,109031,failure
,605004,failure
,605005,success
,716047,failure
,772002,failure
,772003,failure
,772004,failure
,111001,started
,111004,stopped
,111009,read
,771002,modified
