operationName,action
AccountUpdateComplete,modified
AccountUpdateStart,modified
Create,created
Delete,deleted
DiagnosticLogUpdateComplete,modified
DiagnosticLogUpdateStart,modified
HeadFeed,read
Query,read
Read,read
ReadFeed,read
SqlContainersCreate,created
SqlContainersDelete,deleted
SqlContainersUpdate,modified
SqlSqldatabasesCreate,created
SqlSqldatabasesDelete,deleted
SqlStoredproceduresCreate,created
SqlStoredproceduresDelete,deleted
SqlStoredproceduresUpdate,modified
SqlTriggersCreate,created
SqlTriggersDelete,deleted
SqlTriggersUpdate,modified
SqlUserdefinedfunctionsCreate,created
SqlUserdefinedfunctionsDelete,deleted
SqlUserdefinedfunctionsUpdate,modified
TableTablesCreate,created
TableTablesDelete,deleted
TableTablesThroughputUpdate,modified
Update,modified
PUT,created
Microsoft.DataShare/accounts/shares/Put,modified
