Operation, model_type,action,change_type,object_category
AccessInvitationCreated*,endpoint,created,user,user
FileAccessed*,endpoint,read,filesystem,file
FileCopied*,endpoint,read,filesystem,file
FileDeleted*,endpoint,deleted,filesystem,file
FileDownloaded*,endpoint,read,filesystem,file
FileModified*,endpoint,modified,filesystem,file
FileMoved*,endpoint,modified,filesystem,file
FileRenamed*,endpoint,modified,filesystem,file
FileSyncDownloadedFull*,endpoint,unknown,filesystem,file
FileSyncDownloadedPartial*,endpoint,unknown,filesystem,file
FileSyncUploadedFull*,endpoint,unknown,filesystem,file
FileUploaded*,endpoint,created,filesystem,file
FileViewed*,endpoint,read,filesystem,file
GroupAdded*,endpoint,created,user,group
SharedLinkCreated*,endpoint,created,user,user
SharedLinkDisabled*,endpoint,modified,user,user
UserAddedToGroup*,endpoint,created,user,group
AddedToGroup*,endpoint,created,user,group
VideoRequested*,endpoint,unknown,user,object
FileCheckedIn*,endpoint,created,filesystem,file
FileCheckedOut*,endpoint,read,filesystem,file
FileCheckOutDiscarded*,endpoint,modified,filesystem,file
FileRestored*,endpoint,modified,filesystem,file
SharingSet*,endpoint,modified,user,user
SharingRevoked*,endpoint,modified,user,user
AccessInvitationAccepted*,endpoint,modified,user,user
AccessInvitationExpired*,endpoint,modified,user,user
AccessRequestApproved*,endpoint,modified,user,user
AccessRequestAccepted*,endpoint,modified,user,user
AccessRequestCreated*,endpoint,created,user,user
AccessRequestRejected*,endpoint,unknown,user,user
AccessRequestDenied*,endpoint,unknown,user,user
AccessInvitationExpired*,endpoint,modified,user,user
AccessInvitationUpdated*,endpoint,modified,user,user
AccessInvitationRevoked*,endpoint,modified,user,user
ManagedSyncClientAllowed*,endpoint,modified,user,user
FileSyncUploadedPartial*,endpoint,modified,filesystem,file
ExemptUserAgentSet*,endpoint,modified,user,user
SiteCollectionAdminAdded*,endpoint,created,user,user
AllowGroupCreationSet*,endpoint,created,user,group
CustomizeExemptUsers*,endpoint,modified,user,user
SendToConnectionAdded*,endpoint,created,user,user
SiteCollectionCreated*,endpoint,created,user,user
GroupRemoved*,endpoint,deleted,user,group
SendToConnectionRemoved*,endpoint,deleted,user,user
PreviewModeEnabledSet*,endpoint,modified,user,user
LegacyWorkflowEnabledSet*,endpoint,modified,user,user
OfficeOnDemandSet*,endpoint,modified,user,user
NewsFeedEnabledSet*,endpoint,modified,user,user
PeopleResultsScopeSet*,endpoint,modified,user,user
SitePermissionsModified*,endpoint,modified,user,user
UserRemovedFromGroup*,endpoint,deleted,user,user
RemovedFromGroup*,endpoint,deleted,user,user
SiteRenamed*,endpoint,modified,user,user
SiteAdminChangeRequest*,endpoint,modified,user,user
HostSiteSet*,endpoint,modified,user,user
GroupUpdated*,endpoint,modified,user,group
